Date,Open,High,Low,Close,Change(Pips),Change(%)
2024-03-08 04:00:00,2157.81,2159.3,2153.99,2157.75,-1500.0000000009095,-0.006951202558047598
2024-03-08 08:00:00,2157.75,2171.06,2156.44,2169.06,113099.99999999945,0.5241571080987217
2024-03-08 12:00:00,2169.07,2185.43,2156.58,2171.13,20700.000000001637,0.09543304472905412
2024-03-08 16:00:00,2171.11,2195.14,2163.76,2184.97,138399.99999999691,0.6374560712624211
2024-03-08 20:00:00,2184.88,2184.98,2168.29,2178.86,-61099.999999996726,-0.2796377066961897
2024-03-11 00:00:00,2179.49,2188.99,2177.15,2186.66,77999.99999999726,0.35798536849542817
2024-03-11 04:00:00,2186.65,2186.74,2176.85,2180.7,-59600.000000000364,-0.27256180659087637
2024-03-11 08:00:00,2180.69,2183.12,2176.69,2177.42,-32799.99999999745,-0.15041041867288607
2024-03-11 12:00:00,2177.38,2181.54,2175.81,2177.19,-2300.000000000182,-0.010562959833193553
2024-03-11 16:00:00,2177.17,2185.69,2174.84,2180.78,35900.000000001455,0.16489144263938105
2024-03-11 20:00:00,2180.83,2184.16,2177.18,2182.49,17099.999999995816,0.07841231119138925
2024-03-12 00:00:00,2182.08,2184.75,2180.25,2180.37,-21199.99999999891,-0.09713675664034804
2024-03-12 04:00:00,2180.48,2183.04,2176.75,2178.21,-21599.999999998545,-0.0990657548948004
2024-03-12 08:00:00,2178.21,2179.14,2173.64,2177.84,-3699.9999999989086,-0.016986424633069763
2024-03-12 12:00:00,2177.85,2182.06,2160.24,2169.8,-80399.99999999964,-0.3691731256658004
2024-03-12 16:00:00,2169.77,2169.95,2152.62,2165.77,-40300.000000002,-0.18573140381602515
2024-03-12 20:00:00,2165.79,2165.79,2150.63,2158.06,-77100.00000000036,-0.3559934803788023
2024-03-13 00:00:00,2157.36,2161.45,2155.78,2159.19,11300.000000001091,0.052361843507608974
2024-03-13 04:00:00,2159.2,2161.54,2157.24,2159.32,1300.0000000010914,0.00602077630964537
2024-03-13 08:00:00,2159.33,2161.54,2157.89,2158.25,-10700.000000001637,-0.04955263694126355
2024-03-13 12:00:00,2158.2,2166.33,2157.53,2163.58,53299.99999999927,0.2469593420595384
2024-03-13 16:00:00,2163.6,2174.71,2161.43,2173.63,100500.00000000182,0.46450789894527666
2024-03-13 20:00:00,2173.54,2179.89,2171.74,2173.86,2300.000000000182,0.010581377695384475
2024-03-14 00:00:00,2174.15,2176.58,2173.31,2176.24,23799.999999996544,0.10948267137715906
2024-03-14 04:00:00,2176.23,2176.96,2171.03,2171.76,-44799.999999995634,-0.20585964783293997
2024-03-14 08:00:00,2171.77,2171.98,2167.45,2169.63,-21300.00000000109,-0.09807713559509823
2024-03-14 12:00:00,2169.6,2172.0,2160.44,2162.81,-68200.00000000163,-0.31433931131115145
2024-03-14 16:00:00,2162.78,2167.25,2152.77,2158.66,-41500.00000000091,-0.19188000795261617
2024-03-14 20:00:00,2158.55,2165.03,2158.1,2161.48,28200.000000001637,0.13063659863064014
2024-03-15 00:00:00,2161.65,2163.13,2160.6,2162.69,12100.000000000364,0.055980161741020495
2024-03-15 04:00:00,2162.7,2165.99,2161.62,2164.48,17899.999999999636,0.08276729443423836
2024-03-15 08:00:00,2164.53,2170.09,2163.49,2169.07,45900.000000001455,0.21206017149615342
2024-03-15 12:00:00,2169.08,2172.73,2157.59,2161.84,-72300.00000000017,-0.333322576034889
2024-03-15 16:00:00,2161.82,2166.68,2156.57,2158.84,-30000.0,-0.1387706768308461
2024-03-15 20:00:00,2159.04,2160.63,2155.22,2155.65,-31900.000000000546,-0.14776454021604435
2024-03-18 00:00:00,2154.77,2157.52,2151.28,2156.61,9600.000000000364,0.04453413123652883
2024-03-18 04:00:00,2156.62,2156.62,2146.07,2147.35,-92600.00000000218,-0.4293775879737227
2024-03-18 08:00:00,2147.24,2154.45,2146.05,2153.55,62000.00000000273,0.2887279670291454
2024-03-18 12:00:00,2153.57,2163.62,2153.4,2159.11,55599.999999999454,0.2581783566669049
2024-03-18 16:00:00,2159.05,2161.32,2154.61,2159.95,8399.999999996908,0.03890491915647942
2024-03-18 20:00:00,2159.93,2161.2,2158.02,2159.93,-199.9999999998181,-0.000925947359886603
2024-03-19 00:00:00,2159.9,2162.8,2159.85,2160.63,7000.0000000027285,0.032408457681509795
2024-03-19 04:00:00,2160.62,2162.81,2158.54,2160.22,-4100.000000003092,-0.01897594683033521
2024-03-19 08:00:00,2160.23,2160.42,2147.13,2153.09,-71299.99999999654,-0.33005897547470076
2024-03-19 12:00:00,2153.11,2158.68,2150.79,2156.95,38599.999999996726,0.1792772248256913
2024-03-19 16:00:00,2156.92,2158.7,2148.37,2154.51,-24399.999999996,-0.11312269639999206
